GEOID,NAME,Households,Poverty,Median,Mean,Desert
47037018201,182.01,1493,1.4,165694,196127,FALSE
47037019106,191.06,1932,1.3,74144,88569,FALSE
47037010104,101.04,1363,1.2,110535,112881,FALSE
47037016700,167,2768,1.2,136136,207473,FALSE
47037017902,179.02,2442,1.1,139083,195310,FALSE
47037018304,183.04,1710,1.1,125443,142310,FALSE
47037016900,169,2310,1,116103,253589,FALSE
47037017702,177.02,1655,1,148550,202311,FALSE
47037019109,191.09,1668,1,75299,81427,TRUE
47037018804,188.04,2168,0.9,130116,150815,FALSE
47037015617,156.17,1164,0.8,81383,93653,FALSE
47037018302,183.02,1114,0.8,115000,141655,FALSE
47037018700,187,1341,0.7,226971,315627,FALSE
47037015633,156.33,1866,0.6,120125,152786,FALSE
47037015635,156.35,1057,0.6,117952,125078,FALSE
47037018801,188.01,2314,0.6,109872,145160,FALSE
47037018902,189.02,1430,0.6,81705,90373,FALSE
47037010602,106.02,1289,0.3,57880,74972,TRUE
47037015300,153,2683,0.2,83614,103679,FALSE
47037010404,104.04,853,0,74946,91219,FALSE
47037011500,115,1812,0,68553,100080,FALSE
47037013001,130.01,157,0,90446,108675,FALSE
47037013701,137.01,1871,0,57796,83694,FALSE
47037015625,156.25,2606,0,72907,82076,FALSE
47037015636,156.36,1217,0,71219,99529,FALSE
47037015637,156.37,1629,0,66816,81287,FALSE
47037017300,173,1219,0,53388,74669,TRUE
47037017701,177.01,944,0,173571,348845,FALSE
47037018203,182.03,603,0,243750,369721,FALSE
47037018404,184.04,2447,0,66783,83307,FALSE
47037019117,191.17,1810,0,108672,117600,FALSE
47037019121,191.21,1360,0,88977,129578,FALSE
